Title: Absolute Magnitudes and Colors of RR Lyrae stars in DECam Passbands 
       from Photometry of the Globular Cluster M5 
Authors: Vivas A.K., Saha A., Olsen K., Blum R., Olszewski E.W., 
         Claver J., Valdes F., Axelrod T., Kaleida C., Kunder A., 
         Narayan G., Matheson T., Walker A. 
Table: Individual measurements in ugriz of the periodic variables 
       in the field of M5
================================================================================
Byte-by-byte Description of file: ajaa7fedt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     ID      Identification number
   8- 19 F12.6  d       MJD     Modified Julian Date
  21- 21 A1     ---     Filter  Filter
  23- 28 F6.3   mag     mag     Apparent magnitude in Filter
  30- 34 F5.3   mag   e_mag     Error in mag
--------------------------------------------------------------------------------
 29825 56724.839453 z 14.910 0.012 
 29825 56724.839896 z 14.921 0.011 
 29825 56724.860045 z 14.923 0.011 
 29825 56724.860476 z 14.941 0.011 
 29825 56724.882934 z 14.953 0.012 
 29825 56724.883370 z 14.936 0.010 
 29825 56725.826223 z 14.692 0.011 
 29825 56725.826647 z 14.691 0.012 
 29825 56725.846455 z 14.700 0.012 
 29825 56725.846892 z 14.703 0.012 
 29825 56725.876824 z 14.731 0.011 
 29825 56725.877247 z 14.725 0.012 
 29825 56726.812106 z 14.911 0.012 
 29825 56726.812548 z 14.909 0.011 
 29825 56726.821137 z 14.908 0.013 
 29825 56726.821562 z 14.919 0.012 
 29825 56726.841542 z 14.920 0.011 
 29825 56726.841984 z 14.914 0.012 
 29825 56726.861683 z 14.921 0.010 
 29825 56726.862115 z 14.925 0.011 
 29825 56726.882066 z 14.949 0.014 
 29825 56726.882514 z 14.944 0.010 
 29825 56726.902182 z 14.968 0.010 
 29825 56726.902619 z 14.967 0.014 
 29829 56451.722332 u 15.823 0.012 
 29829 56451.723139 u 15.848 0.013 
 29829 56452.499995 u 16.036 0.013 
 29829 56452.500658 u 16.017 0.011 
 29829 56452.613786 u 16.150 0.012 
 29829 56452.614566 u 16.120 0.013 
 29829 56452.702727 u 14.794 0.011 
 29829 56452.703502 u 14.784 0.010 
 29829 56452.756899 u 15.072 0.010 
 29829 56453.475292 u 15.789 0.018 
 29829 56453.571960 u 15.919 0.010 
 29829 56453.578740 u 15.946 0.013 
 29829 56453.579412 u 15.927 0.013 
 29829 56453.681792 u 16.133 0.019 
 29829 56453.682464 u 16.013 0.013 
 29829 56724.818405 u 16.042 0.013 
 29829 56724.841213 u 16.063 0.011 
 29829 56724.861812 u 16.085 0.013 
 29829 56725.828639 u 15.816 0.010 
 29829 56725.848211 u 15.874 0.012 
 29829 56725.879254 u 15.926 0.010 
 29829 56726.903935 u 15.310 0.012 
 29829 56726.904600 u 15.318 0.012 
 29829 56451.721220 g 15.214 0.011 
 29829 56451.721773 g 15.219 0.012 
 29829 56452.499102 g 15.393 0.010 
 29829 56452.499554 g 15.394 0.012 
 29829 56452.612929 g 15.485 0.011 
 29829 56452.613357 g 15.505 0.013 
 29829 56452.701691 g 14.345 0.012 
 29829 56452.702231 g 14.334 0.011 
 29829 56452.755016 g 14.625 0.010 
 29829 56452.755566 g 14.641 0.010 
 29829 56453.467899 g 15.157 0.012 
 29829 56453.474437 g 15.221 0.014 
 29829 56453.479965 g 14.983 0.012 
 29829 56453.480388 g 15.176 0.012 
 29829 56453.570419 g 15.290 0.010 
 29829 56453.570859 g 15.290 0.011 
 29829 56453.577840 g 15.308 0.011 
 29829 56453.578284 g 15.282 0.011 
 29829 56453.751591 g 15.590 0.015 
 29829 56453.752177 g 15.535 0.011 
 29829 56465.458279 g 15.297 0.011 
 29829 56465.465990 g 15.279 0.011 
 29829 56465.466423 g 15.283 0.012 
 29829 56724.817498 g 15.411 0.011 
 29829 56724.817962 g 15.394 0.010 
 29829 56724.840334 g 15.396 0.011 
 29829 56724.840768 g 15.419 0.010 
 29829 56724.860922 g 15.467 0.010 
 29829 56724.861365 g 15.458 0.011 
 29829 56724.883814 g 15.525 0.010 
 29829 56724.884254 g 15.518 0.010 
 29829 56725.827082 g 15.192 0.011 
 29829 56725.827515 g 15.202 0.010 
 29829 56725.847325 g 15.253 0.011 
 29829 56725.847757 g 15.257 0.010 
 29829 56725.877691 g 15.284 0.011 
 29829 56725.878141 g 15.280 0.010 
 29829 56726.812985 g 14.338 0.011 
 29829 56726.813433 g 14.348 0.011 
 29829 56726.822069 g 14.391 0.011 
 29829 56726.822504 g 14.383 0.010 
 29829 56726.842416 g 14.493 0.010 
 29829 56726.842855 g 14.500 0.010 
 29829 56726.862556 g 14.594 0.011 
 29829 56726.862992 g 14.590 0.010 
 29829 56726.882952 g 14.691 0.010 
 29829 56726.883409 g 14.692 0.011 
 29829 56726.903067 g 14.781 0.011 
 29829 56726.903508 g 14.784 0.011 
 29829 56451.717357 r 14.949 0.012 
 29829 56451.718102 r 14.944 0.011 
 29829 56451.718635 r 14.953 0.011 
 29829 56452.495761 r 15.097 0.011 
 29829 56452.496463 r 15.123 0.013 
 29829 56452.496898 r 15.120 0.012 
 29829 56452.502189 r 15.114 0.012 
 29829 56452.609624 r 15.253 0.011 
 29829 56452.610313 r 15.258 0.014 
 29829 56452.610753 r 15.262 0.015 
 29829 56452.697765 r 14.375 0.012 
 29829 56452.698514 r 14.377 0.010 
 29829 56452.699052 r 14.372 0.011 
 29829 56452.751003 r 14.566 0.012 
 29829 56452.751804 r 14.574 0.012 
 29829 56452.752352 r 14.561 0.011 
 29829 56453.465704 r 15.074 0.011 
 29829 56453.476666 r 14.764 0.011 
 29829 56453.477356 r 14.844 0.017 
 29829 56453.567081 r 15.007 0.010 
 29829 56453.567781 r 15.035 0.011 
 29829 56453.568211 r 15.012 0.011 
 29829 56453.574528 r 15.006 0.011 
 29829 56453.575206 r 15.018 0.010 
 29829 56453.575657 r 15.017 0.011 
 29829 56453.677469 r 15.128 0.012 
 29829 56453.678173 r 15.105 0.013 
 29829 56453.678605 r 15.015 0.013 
 29829 56453.747565 r 15.225 0.010 
 29829 56453.748378 r 15.235 0.011 
 29829 56453.748937 r 15.220 0.011 
 29829 56465.454568 r 14.991 0.010 
 29829 56465.455249 r 15.018 0.011 
 29829 56465.455691 r 14.998 0.010 
 29829 56465.462665 r 15.022 0.012 
 29829 56465.463356 r 14.994 0.011 
 29829 56465.463783 r 15.026 0.010 
 29829 56467.462713 r 15.255 0.011 
 29829 56467.463393 r 15.267 0.011 
 29829 56467.463847 r 15.238 0.011 
 29829 56724.814885 r 15.116 0.011 
 29829 56724.815323 r 15.122 0.010 
 29829 56724.837694 r 15.121 0.010 
 29829 56724.838133 r 15.130 0.010 
 29829 56724.858302 r 15.170 0.010 
 29829 56724.858738 r 15.170 0.010 
 29829 56724.881196 r 15.227 0.010 
 29829 56724.881636 r 15.218 0.010 
 29829 56725.824447 r 14.938 0.011 
 29829 56725.824889 r 14.942 0.011 
 29829 56725.844726 r 14.959 0.011 
 29829 56725.845162 r 14.974 0.010 
 29829 56725.875055 r 14.995 0.011 
 29829 56725.875495 r 14.997 0.011 
 29829 56726.810271 r 14.379 0.010 
 29829 56726.810697 r 14.390 0.010 
 29829 56726.819387 r 14.418 0.011 
 29829 56726.819819 r 14.420 0.010 
 29829 56726.839819 r 14.490 0.010 
 29829 56726.840245 r 14.497 0.011 
 29829 56726.859958 r 14.545 0.011 
 29829 56726.860383 r 14.560 0.011 
 29829 56726.880322 r 14.620 0.011 
 29829 56726.880764 r 14.612 0.010 
 29829 56726.900425 r 14.663 0.010 
 29829 56726.900873 r 14.665 0.010 
 29829 56451.719126 i 14.910 0.010 
 29829 56451.719677 i 14.921 0.010 
 29829 56452.497345 i 15.063 0.011 
 29829 56452.497785 i 15.062 0.011 
 29829 56452.611183 i 15.204 0.013 
 29829 56452.611621 i 15.200 0.012 
 29829 56452.699593 i 14.505 0.013 
 29829 56452.700079 i 14.513 0.011 
 29829 56452.752902 i 14.636 0.012 
 29829 56452.753449 i 14.636 0.012 
 29829 56453.466139 i 14.842 0.010 
 29829 56453.466599 i 14.795 0.012 
 29829 56453.473140 i 14.881 0.020 
 29829 56453.478647 i 14.782 0.012 
 29829 56453.568639 i 15.013 0.013 
 29829 56453.569078 i 15.119 0.011 
 29829 56453.576087 i 14.959 0.011 
 29829 56453.576522 i 14.960 0.012 
 29829 56453.679063 i 15.073 0.012 
 29829 56453.679504 i 15.021 0.011 
 29829 56453.749491 i 15.138 0.013 
 29829 56465.456542 i 14.996 0.012 
 29829 56465.464214 i 14.978 0.011 
 29829 56465.464655 i 14.974 0.010 
 29829 56724.815764 i 15.083 0.010 
 29829 56724.816199 i 15.061 0.011 
 29829 56724.838569 i 15.077 0.011 
 29829 56724.839012 i 15.065 0.011 
 29829 56724.859179 i 15.105 0.010 
 29829 56724.859614 i 15.120 0.010 
 29829 56724.882066 i 15.164 0.010 
 29829 56724.882496 i 15.162 0.010 
 29829 56725.825782 i 14.900 0.011 
 29829 56725.845598 i 14.934 0.010 
 29829 56725.846027 i 14.943 0.011 
 29829 56725.875926 i 14.960 0.012 
 29829 56451.720223 z 14.914 0.010 
 29829 56451.720708 z 14.887 0.010 
 29829 56452.498233 z 15.053 0.011 
 29829 56452.498661 z 15.020 0.011 
 29829 56452.612057 z 15.173 0.013 
 29829 56452.612487 z 15.164 0.010 
 29829 56452.700608 z 14.520 0.013 
 29829 56452.701148 z 14.511 0.010 
 29829 56452.753959 z 14.610 0.011 
 29829 56452.754501 z 14.614 0.010 
 29829 56453.467450 z 14.842 0.016 
 29829 56453.479073 z 14.866 0.011 
 29829 56453.479532 z 14.975 0.012 
 29829 56453.569520 z 14.945 0.011 
 29829 56453.569950 z 14.922 0.011 
 29829 56453.576983 z 14.930 0.011 
 29829 56453.577412 z 14.874 0.012 
 29829 56453.679926 z 15.007 0.016 
 29829 56453.680353 z 15.015 0.012 
 29829 56453.750520 z 15.110 0.015 
 29829 56453.751075 z 15.147 0.013 
 29829 56465.456974 z 14.974 0.011 
 29829 56465.457415 z 14.935 0.012 
 29829 56465.465093 z 14.943 0.011 
 29829 56465.465539 z 14.927 0.011 
 29829 56724.816635 z 15.027 0.010 
 29829 56724.817063 z 15.025 0.011 
 29829 56724.839453 z 15.039 0.012 
 29829 56724.839896 z 15.043 0.011 
 29829 56724.860045 z 15.070 0.012 
 29829 56724.860476 z 15.101 0.010 
 29829 56724.882934 z 15.139 0.011 
 29829 56724.883370 z 15.132 0.010 
 29829 56725.826223 z 14.872 0.011 
 29829 56725.826647 z 14.871 0.012 
 29829 56725.846455 z 14.879 0.010 
 29829 56725.846892 z 14.897 0.012 
 29829 56725.876824 z 14.914 0.011 
 29829 56725.877247 z 14.914 0.011 
 29829 56726.812106 z 14.511 0.012 
 29829 56726.812548 z 14.518 0.010 
 29829 56726.821137 z 14.538 0.012 
 29829 56726.821562 z 14.542 0.013 
 29829 56726.841542 z 14.575 0.010 
 29829 56726.841984 z 14.569 0.011 
 29829 56726.861683 z 14.611 0.011 
 29829 56726.862115 z 14.603 0.011 
 29829 56726.882066 z 14.650 0.013 
 29829 56726.882514 z 14.645 0.011 
 29829 56726.902182 z 14.687 0.011 
 29829 56726.902619 z 14.685 0.013 
 29848 56451.722332 u 15.461 0.011 
 29848 56451.723139 u 15.458 0.013 
 29848 56452.499995 u 16.108 0.013 
 29848 56452.500658 u 16.109 0.013 
 29848 56452.614566 u 16.242 0.014 
 29848 56452.702727 u 15.495 0.012 
 29848 56452.756113 u 15.272 0.011 
 29848 56452.756899 u 15.280 0.010 
 29848 56453.475292 u 16.055 0.020 
 29848 56453.481520 u 16.067 0.017 
 29848 56453.571283 u 16.105 0.015 
 29848 56453.571960 u 16.120 0.012 
 29848 56453.578740 u 16.113 0.013 
 29848 56453.579412 u 16.095 0.016 
 29848 56453.682464 u 16.222 0.015 
 29848 56467.466971 u 16.181 0.013 
 29848 56467.467647 u 16.206 0.013 
 29848 56724.818405 u 16.254 0.013 
 29848 56725.827970 u 16.456 0.016 
 29848 56725.828639 u 16.198 0.013 
 29848 56725.848211 u 16.255 0.013 
 29848 56725.848901 u 16.264 0.014 
 29848 56725.878581 u 16.334 0.011 
 29848 56726.813869 u 16.265 0.013 
 29848 56726.814544 u 16.290 0.015 
 29848 56726.822954 u 16.242 0.013 
 29848 56726.823632 u 16.289 0.015 
 29848 56726.843316 u 16.299 0.012 
 29848 56726.843999 u 16.266 0.010 
 29848 56726.864099 u 16.208 0.011 
 29848 56726.903935 u 16.232 0.013 
 29848 56726.904600 u 16.270 0.014 
 29848 56451.721220 g 14.945 0.011 
 29848 56451.721773 g 14.936 0.012 
 29848 56452.499102 g 15.455 0.011 
 29848 56452.499554 g 15.467 0.012 
 29848 56452.612929 g 15.568 0.011 
 29848 56452.613357 g 15.585 0.012 
 29848 56452.702231 g 14.957 0.011 
 29848 56452.755016 g 14.826 0.011 
 29848 56452.755566 g 14.830 0.010 
 29848 56453.467899 g 15.383 0.015 
 29848 56453.474437 g 15.367 0.017 
 29848 56453.479965 g 15.282 0.012 
 29848 56453.480388 g 15.395 0.013 
 29848 56453.570419 g 15.443 0.010 
 29848 56453.570859 g 15.451 0.011 
 29848 56453.577840 g 15.459 0.010 
 29848 56453.578284 g 15.463 0.011 
 29848 56453.681369 g 15.555 0.011 
 29848 56453.751591 g 15.168 0.013 
 29848 56453.752177 g 15.076 0.011 
 29848 56465.458279 g 15.626 0.011 
 29848 56465.465990 g 15.650 0.013 
 29848 56465.466423 g 15.650 0.013 
 29848 56467.466080 g 15.528 0.012 
 29848 56467.466518 g 15.536 0.012 
 29848 56724.817498 g 15.664 0.011 
 29848 56724.817962 g 15.641 0.010 
 29848 56724.840334 g 15.062 0.011 
 29848 56724.840768 g 15.062 0.010 
 29848 56724.860922 g 14.424 0.010 
 29848 56724.861365 g 14.419 0.010 
 29848 56724.883814 g 14.392 0.010 
 29848 56724.884254 g 14.388 0.010 
 29848 56725.827082 g 15.563 0.011 
 29848 56725.827515 g 15.578 0.010 
 29848 56725.847325 g 15.627 0.011 
 29848 56725.847757 g 15.638 0.010 
 29848 56725.877691 g 15.671 0.011 
 29848 56725.878141 g 15.676 0.012 
 29848 56726.812985 g 15.586 0.011 
 29848 56726.813433 g 15.598 0.011 
 29848 56726.822069 g 15.594 0.011 
 29848 56726.822504 g 15.583 0.010 
 29848 56726.842416 g 15.590 0.010 
 29848 56726.842855 g 15.586 0.010 
 29848 56726.862556 g 15.565 0.011 
 29848 56726.862992 g 15.565 0.010 
 29848 56726.882952 g 15.551 0.010 
 29848 56726.883409 g 15.568 0.010 
 29848 56726.903067 g 15.586 0.011 
 29848 56726.903508 g 15.580 0.011 
 29848 56451.717357 r 14.809 0.013 
 29848 56451.718102 r 14.809 0.011 
 29848 56451.718635 r 14.835 0.012 
 29848 56452.495761 r 15.169 0.011 
 29848 56452.496463 r 15.187 0.012 
 29848 56452.496898 r 15.184 0.014 
 29848 56452.502189 r 15.177 0.013 
 29848 56452.609624 r 15.296 0.012 
 29848 56452.610313 r 15.318 0.015 
 29848 56452.610753 r 15.305 0.013 
 29848 56452.697765 r 14.892 0.011 
 29848 56452.698514 r 14.896 0.011 
 29848 56452.699052 r 14.897 0.012 
 29848 56452.751003 r 14.748 0.012 
 29848 56452.751804 r 14.739 0.012 
 29848 56452.752352 r 14.741 0.012 
 29848 56453.465704 r 15.250 0.012 
 29848 56453.476666 r 15.042 0.012 
 29848 56453.477356 r 14.978 0.019 
 29848 56453.567081 r 15.182 0.010 
 29848 56453.567781 r 15.194 0.011 
 29848 56453.568211 r 15.177 0.012 
 29848 56453.574528 r 15.175 0.011 
 29848 56453.575206 r 15.171 0.010 
 29848 56453.575657 r 15.176 0.010 
 29848 56453.677469 r 15.306 0.012 
 29848 56453.678173 r 15.307 0.013 
 29848 56453.678605 r 15.276 0.014 
 29848 56453.747565 r 15.014 0.010 
 29848 56453.748378 r 15.019 0.012 
 29848 56453.748937 r 14.997 0.011 
 29848 56465.454568 r 15.355 0.011 
 29848 56465.455249 r 15.363 0.012 
 29848 56465.455691 r 15.346 0.011 
 29848 56465.462665 r 15.374 0.011 
 29848 56465.463356 r 15.352 0.012 
 29848 56465.463783 r 15.372 0.011 
 29848 56467.462713 r 15.243 0.011 
 29848 56467.463393 r 15.240 0.011 
 29848 56467.463847 r 15.225 0.011 
 29848 56724.814885 r 15.386 0.011 
 29848 56724.815323 r 15.388 0.010 
 29848 56724.837694 r 15.038 0.010 
 29848 56724.838133 r 15.022 0.010 
 29848 56724.858302 r 14.538 0.010 
 29848 56724.858738 r 14.533 0.010 
 29848 56724.881196 r 14.467 0.010 
 29848 56724.881636 r 14.471 0.010 
 29848 56725.824447 r 15.280 0.012 
 29848 56725.824889 r 15.291 0.013 
 29848 56725.844726 r 15.325 0.013 
 29848 56725.845162 r 15.334 0.010 
 29848 56725.875055 r 15.387 0.011 
 29848 56725.875495 r 15.382 0.011 
 29848 56726.810271 r 15.262 0.011 
 29848 56726.810697 r 15.273 0.011 
 29848 56726.819387 r 15.283 0.011 
 29848 56726.819819 r 15.275 0.011 
 29848 56726.839819 r 15.281 0.010 
 29848 56726.840245 r 15.284 0.012 
 29848 56726.859958 r 15.263 0.011 
 29848 56726.860383 r 15.281 0.010 
 29848 56726.880322 r 15.272 0.012 
 29848 56726.880764 r 15.271 0.011 
 29848 56726.900425 r 15.292 0.010 
 29848 56726.900873 r 15.289 0.010 
 29848 56451.719126 i 14.849 0.012 
 29848 56451.719677 i 14.873 0.011 
 29848 56452.497345 i 15.122 0.010 
 29848 56452.497785 i 15.130 0.012 
 29848 56452.611183 i 15.276 0.012 
 29848 56452.611621 i 15.247 0.012 
 29848 56452.699593 i 14.938 0.011 
 29848 56452.700079 i 14.940 0.011 
 29848 56452.752902 i 14.805 0.012 
 29848 56452.753449 i 14.800 0.012 
 29848 56453.466139 i 15.050 0.011 
 29848 56453.466599 i 15.022 0.012 
 29848 56453.472711 i 14.954 0.029 
 29848 56453.473140 i 15.108 0.026 
 29848 56453.478647 i 15.078 0.012 
 29848 56453.568639 i 15.166 0.012 
 29848 56453.569078 i 15.286 0.012 
 29848 56453.576087 i 15.141 0.010 
 29848 56453.576522 i 15.130 0.012 
 29848 56453.679063 i 15.280 0.012 
 29848 56453.679504 i 15.209 0.011 
 29848 56453.749491 i 15.025 0.014 
 29848 56465.456542 i 15.322 0.012 
 29848 56465.464214 i 15.325 0.011 
 29848 56465.464655 i 15.325 0.011 
 29848 56467.464288 i 15.182 0.011 
 29848 56467.464715 i 15.168 0.011 
 29848 56724.815764 i 15.354 0.010 
 29848 56724.816199 i 15.339 0.011 
 29848 56724.838569 i 15.037 0.011 
 29848 56725.825782 i 15.249 0.013 
 29848 56725.845598 i 15.295 0.011 
 29848 56725.846027 i 15.296 0.011 
 29848 56725.875926 i 15.346 0.013 
 29848 56725.876363 i 15.365 0.010 
 29848 56726.811144 i 15.220 0.012 
 29848 56726.811663 i 15.206 0.010 
 29848 56726.820248 i 15.227 0.013 
 29848 56726.820689 i 15.220 0.012 
 29848 56726.840680 i 15.230 0.010 
 29848 56726.841117 i 15.227 0.010 
 29848 56726.861259 i 15.229 0.011 
 29848 56726.881188 i 15.229 0.012 
 29848 56451.720223 z 14.890 0.011 
 29848 56451.720708 z 14.867 0.012 
 29848 56452.498233 z 15.123 0.010 
 29848 56452.498661 z 15.105 0.012 
 29848 56452.612057 z 15.233 0.013 
 29848 56452.612487 z 15.230 0.013 
 29848 56452.700608 z 14.950 0.013 
 29848 56452.701148 z 14.956 0.010 
 29848 56452.753959 z 14.800 0.011 
 29848 56452.754501 z 14.814 0.011 
 29848 56453.467450 z 15.022 0.015 
 29848 56453.479073 z 15.038 0.011 
 29848 56453.479532 z 15.067 0.012 
 29848 56453.569520 z 15.110 0.012 
 29848 56453.569950 z 15.088 0.011 
 29848 56453.576983 z 15.101 0.011 
 29848 56453.577412 z 15.061 0.013 
 29848 56453.680353 z 15.256 0.012 
 29848 56453.750520 z 15.004 0.014 
 29848 56453.751075 z 15.036 0.012 
 29848 56465.457415 z 15.298 0.012 
 29848 56465.465093 z 15.289 0.012 
 29848 56465.465539 z 15.300 0.012 
 29848 56467.465179 z 15.140 0.012 
 29848 56467.465622 z 15.125 0.011 
 29848 56724.816635 z 15.311 0.010 
 29848 56724.817063 z 15.295 0.013 
 29848 56724.839453 z 15.018 0.011 
 29848 56724.839896 z 15.011 0.011 
 29848 56724.860045 z 14.658 0.012 
 29848 56724.860476 z 14.656 0.010 
 29848 56724.882934 z 14.610 0.012 
 29848 56724.883370 z 14.617 0.011 
 29848 56725.826223 z 15.214 0.011 
 29848 56725.826647 z 15.209 0.012 
 29848 56725.846455 z 15.256 0.012 
 29848 56725.846892 z 15.263 0.012 
 29848 56725.876824 z 15.309 0.011 
 29848 56725.877247 z 15.307 0.012 
 29848 56726.812106 z 15.175 0.013 
 29848 56726.812548 z 15.176 0.012 
 29848 56726.821137 z 15.191 0.013 
 29848 56726.821562 z 15.179 0.014 
 29848 56726.841542 z 15.200 0.011 
 29848 56726.841984 z 15.177 0.011 
 29848 56726.861683 z 15.186 0.010 
 29848 56726.862115 z 15.180 0.010 
 29848 56726.882066 z 15.189 0.012 
 29848 56726.882514 z 15.192 0.011 
 29848 56726.902182 z 15.224 0.011 
 29848 56726.902619 z 15.223 0.014 
 29873 56451.722332 u 14.808 0.010 
 29873 56451.723139 u 14.813 0.012 
 29873 56452.499995 u 16.243 0.012 
 29873 56452.500658 u 16.244 0.013 
 29873 56452.613786 u 16.193 0.013 
 29873 56452.614566 u 16.206 0.013 
 29873 56452.702727 u 14.958 0.011 
 29873 56452.703502 u 14.940 0.011 
 29873 56452.756113 u 15.049 0.010 
 29873 56453.475292 u 16.300 0.026 
 29873 56453.571283 u 16.210 0.012 
 29873 56453.571960 u 16.216 0.012 
 29873 56453.578740 u 16.216 0.013 
 29873 56453.579412 u 16.207 0.016 
 29873 56453.681792 u 15.904 0.019 
 29873 56453.682464 u 15.854 0.012 
 29873 56467.466971 u 16.121 0.012 
 29873 56467.467647 u 16.092 0.013 
 29873 56724.818405 u 16.247 0.014 
 29873 56724.841881 u 16.219 0.013 
 29873 56724.861812 u 16.246 0.015 
 29873 56724.884692 u 16.216 0.012 
 29873 56724.885357 u 16.190 0.011 
 29873 56725.827970 u 16.231 0.011 
 29873 56725.828639 u 16.220 0.013 
 29873 56725.848211 u 16.197 0.012 
 29873 56725.848901 u 16.199 0.013 
 29873 56726.813869 u 16.233 0.013 
 29873 56726.822954 u 16.265 0.014 
 29873 56726.823632 u 16.243 0.015 
 29873 56726.843999 u 16.240 0.046 
 29873 56726.903935 u 16.153 0.013 
 29873 56726.904600 u 16.172 0.014 
 29873 56451.721220 g 14.399 0.011 
 29873 56451.721773 g 14.412 0.012 
 29873 56452.499102 g 15.572 0.011 
 29873 56452.499554 g 15.574 0.012 
 29873 56452.612929 g 15.548 0.011 
 29873 56452.613357 g 15.551 0.011 
 29873 56452.702231 g 14.487 0.011 
 29873 56452.755016 g 14.646 0.011 
 29873 56452.755566 g 14.657 0.010 
 29873 56453.467899 g 15.571 0.014 
 29873 56453.474437 g 15.509 0.017 
 29873 56453.479965 g 15.487 0.012 
 29873 56453.480388 g 15.589 0.011 
 29873 56453.570419 g 15.555 0.010 
 29873 56453.570859 g 15.553 0.011 
 29873 56453.577840 g 15.564 0.012 
 29873 56453.578284 g 15.551 0.012 
 29873 56453.681369 g 15.314 0.011 
 29873 56453.751591 g 14.626 0.013 
 29873 56453.752177 g 14.577 0.010 
 29873 56465.458279 g 15.420 0.011 
 29873 56465.465990 g 15.441 0.012 
 29873 56465.466423 g 15.444 0.012 
 29873 56467.466080 g 15.437 0.012 
 29873 56467.466518 g 15.432 0.012 
 29873 56724.817498 g 15.582 0.010 
 29873 56724.817962 g 15.570 0.010 
 29873 56724.840334 g 15.560 0.011 
 29873 56724.840768 g 15.570 0.010 
 29873 56724.860922 g 15.583 0.010 
 29873 56724.861365 g 15.577 0.011 
 29873 56724.883814 g 15.568 0.010 
 29873 56724.884254 g 15.562 0.010 
 29873 56725.827082 g 15.567 0.010 
 29873 56725.827515 g 15.570 0.010 
 29873 56725.847325 g 15.573 0.011 
 29873 56725.847757 g 15.572 0.010 
 29873 56725.877691 g 15.558 0.010 
 29873 56725.878141 g 15.558 0.011 
 29873 56726.812985 g 15.576 0.012 
 29873 56726.813433 g 15.575 0.010 
 29873 56726.822069 g 15.574 0.011 
 29873 56726.822504 g 15.566 0.010 
 29873 56726.842416 g 15.555 0.010 
 29873 56726.842855 g 15.564 0.010 
 29873 56726.862556 g 15.562 0.011 
 29873 56726.862992 g 15.564 0.010 
 29873 56726.882952 g 15.560 0.010 
 29873 56726.883409 g 15.566 0.011 
 29873 56726.903067 g 15.540 0.011 
 29873 56726.903508 g 15.530 0.011 
 29873 56451.717357 r 14.476 0.012 
 29873 56451.718102 r 14.459 0.011 
 29873 56451.718635 r 14.502 0.011 
 29873 56452.495761 r 15.267 0.011 
 29873 56452.496463 r 15.285 0.011 
 29873 56452.496898 r 15.280 0.012 
 29873 56452.502189 r 15.269 0.014 
 29873 56452.609624 r 15.278 0.012 
 29873 56452.610313 r 15.286 0.014 
 29873 56452.610753 r 15.277 0.012 
 29873 56452.697765 r 14.642 0.011 
 29873 56452.698514 r 14.628 0.011 
 29873 56452.699052 r 14.614 0.011 
 29873 56452.751003 r 14.626 0.012 
 29873 56452.751804 r 14.631 0.011 
 29873 56452.752352 r 14.621 0.011 
 29873 56453.465704 r 15.328 0.012 
 29873 56453.476666 r 15.214 0.013 
 29873 56453.477356 r 15.137 0.020 
 29873 56453.567081 r 15.283 0.010 
 29873 56453.567781 r 15.284 0.010 
 29873 56453.568211 r 15.275 0.011 
 29873 56453.574528 r 15.273 0.011 
 29873 56453.575206 r 15.270 0.010 
 29873 56453.575657 r 15.274 0.011 
 29873 56453.677469 r 15.222 0.012 
 29873 56453.678173 r 15.219 0.013 
 29873 56453.678605 r 15.197 0.013 
 29873 56453.747565 r 14.624 0.011 
 29873 56453.748378 r 14.604 0.010 
 29873 56453.748937 r 14.601 0.011 
 29873 56465.454568 r 15.123 0.010 
 29873 56465.455249 r 15.144 0.011 
 29873 56465.455691 r 15.133 0.011 
 29873 56465.462665 r 15.164 0.012 
 29873 56465.463356 r 15.164 0.012 
 29873 56465.463783 r 15.172 0.011 
 29873 56467.462713 r 15.160 0.011 
 29873 56467.463393 r 15.162 0.011 
 29873 56467.463847 r 15.142 0.011 
 29873 56724.814885 r 15.280 0.011 
 29873 56724.815323 r 15.286 0.010 
 29873 56724.837694 r 15.282 0.010 
 29873 56724.838133 r 15.277 0.010 
 29873 56724.858302 r 15.282 0.010 
 29873 56724.858738 r 15.289 0.010 
 29873 56724.881196 r 15.287 0.010 
 29873 56724.881636 r 15.289 0.010 
 29873 56725.824447 r 15.273 0.011 
 29873 56725.824889 r 15.278 0.011 
 29873 56725.844726 r 15.270 0.011 
 29873 56725.845162 r 15.267 0.010 
 29873 56725.875055 r 15.283 0.011 
 29873 56725.875495 r 15.279 0.011 
 29873 56726.810271 r 15.262 0.010 
 29873 56726.810697 r 15.264 0.011 
 29873 56726.819387 r 15.263 0.011 
 29873 56726.819819 r 15.268 0.011 
 29873 56726.839819 r 15.272 0.010 
 29873 56726.840245 r 15.276 0.011 
 29873 56726.859958 r 15.279 0.011 
 29873 56726.860383 r 15.285 0.010 
 29873 56726.880322 r 15.275 0.011 
 29873 56726.880764 r 15.279 0.010 
 29873 56726.900425 r 15.268 0.010 
 29873 56726.900873 r 15.268 0.010 
 29873 56451.719126 i 14.619 0.011 
 29873 56451.719677 i 14.619 0.010 
 29873 56452.497345 i 15.207 0.011 
 29873 56452.497785 i 15.196 0.010 
 29873 56452.611183 i 15.260 0.012 
